URL,Published Date,Summary
https://turbomp.com/,,"Turbo Machined Products is a company that specializes in manufacturing turbine blades, vanes, impellers, and bladed disks for the aviation, space, power generation, and defense industries. They have been in business since 1994 and have a wide range of capabilities, including 5-axis machining. Turbo Machined Products is committed to providing their customers with high-quality components and reliable delivery. 
"
https://udash.com/,25-02-2019,"UDASH Inc. is a US-based precision CNC machining company specializing in complex and ultra-precision 4 & 5-Axis machined parts. They have extensive experience serving industries such as aerospace, medical, aviation, and automotive, and are known for their high quality, on-time delivery, and customer service. UDASH is particularly well-equipped to handle complex, close-tolerance, exotic alloy precision machined and fabrications that other manufacturers may not be able to handle. 
"
https://www.moeller-aerospace.com/,21-09-2021,"Moeller Aerospace is a leading manufacturer of precision machined turbine engine components for both aerospace and industrial applications. They offer a full range of services, including machining, finishing, and assembly, all completed in-house. Moeller Aerospace is committed to quality and customer satisfaction, holding AS9100D, ISO9001, ISO14001 and NADCAP certifications. They also have a blog where you can learn about industry trends and news from Moeller Aerospace. 
"
https://turbineblades.co.uk/,01-01-2019,"Turbine Blades UK is a company with over 30 years of experience in 5-axis machining, specializing in aerospace engine components and hardware.  They produce a wide range of parts for jet engines, missile systems, satellites and spacecraft.  The company has manufacturing facilities in the United States, England, and India and is a world leader in 5-axis machining capacity. They are currently looking for employees and are offering a monthly newsletter to stay up-to-date on the latest news.  
"
https://www.avitools.com/,01-01-2023,"AviTools is a manufacturing company specializing in precision machining parts for the Oil & Gas, Aviation, Analytical Instrumentation, and Engineering Machine Shop industries. They offer turnkey solutions, from raw materials to finished components, including casting, heat treatment, surface treatment, and painting. AviTools embraces innovation, integrating processes from precision machining to casting and assembly for modular solutions. 
"
https://leturbo.com/,06-02-2023,"LETC is a company that has been in the turbine industry since 1980. They specialize in manufacturing high-quality parts for turbines using advanced grinding, machining, and finishing processes. LETC uses high temperature alloys such as nickel, titanium, steel, and cobalt-based alloys. They are committed to customer satisfaction and are constantly improving their capabilities and increasing their capacity to meet market demand. 
"
https://aeronamic.com/,12-11-2019,"Aeronamic is a company specializing in high-speed rotating components and precision parts. They focus on achieving more by doing less, emphasizing quality and efficiency. They leverage their experience from their former company, URENCO, which invented the world's first ultra-centrifuge, to provide top-notch products and services. They aim to help their clients reach their full potential by providing innovative solutions and reliable support. 
"
https://shmachine.com/,25-03-2020,"S&H Machine is a manufacturing company specializing in high-quality parts for aviation, defense, spacecraft, and other industries. They boast a 63-year history of providing consistent, reliable performance with a focus on complex milling and turning. Their advanced technology includes over 70 CNC machines and a team of experienced professionals. S&H also provides complete assembly and testing services, ensuring the highest quality standards for their clients. Their commitment to customer satisfaction includes lead time reduction, on-time delivery, competitive pricing, and ongoing support throughout the product lifecycle. 
"
https://saketema.com/,04-02-2017,"Senior Aerospace Ketema (SAK) is a leading provider of components for aircraft and turbine engines, as well as precision integrated manufacturing for space, marine, and ground-based applications. They are located at 790 Greenfield Drive, El Cajon, CA 92021. For inquiries, you can reach them at 619.442.3451. SAK is an EEO employer and provides accommodations for individuals with disabilities. 
"
https://tripleinc.com/,23-03-2021,"Triple Incorporated is a precision parts manufacturer for the Aerospace and Defense industries. They have been in business since 1951 and are known for their high quality products. Triple Incorporated specializes in complex machining for fluid metering and actuation controls. Some of their core product specialities include matched valves, housings, pump parts, and small assemblies. They are committed to customer satisfaction and hold themselves to the highest standards of quality, including AS9100d with ISO 9001:2015 certification, Nadcap certification, and ITAR registration. 
"
